,Accuracy_Passes,Goals_Assist,Goals_Total,Height_cm
0,79.0,2.0,0.0,180.0
1,75.0,2.0,4.0,183.0
2,50.0,0.0,0.0,185.0
3,74.0,2.0,0.0,189.0
4,76.0,0.0,0.0,174.0
5,63.0,0.0,0.0,180.0
6,82.0,5.0,1.0,176.0
7,79.0,1.0,0.0,187.0
8,73.0,2.0,1.0,179.0
9,62.0,1.0,16.0,181.0
10,53.0,0.0,0.0,188.0
11,58.0,0.0,0.0,191.0
12,78.0,0.0,0.0,173.0
14,79.0,0.0,0.0,184.0
15,56.0,1.0,1.0,182.0
16,71.0,1.0,1.0,179.0
17,79.0,0.0,0.0,184.0
19,78.0,1.0,0.0,182.0
20,86.0,0.0,0.0,183.0
21,89.0,2.0,5.0,184.0
22,61.0,1.0,4.0,184.0
23,64.0,5.0,8.0,186.0
24,75.0,1.0,2.0,182.0
25,70.0,0.0,0.0,185.0
26,74.0,0.0,1.0,177.0
27,82.0,1.0,3.0,186.0
28,80.0,0.0,3.0,188.0
29,68.0,0.0,0.0,182.0
30,74.0,1.0,2.0,178.0
31,67.0,1.0,0.0,192.0
37,64.0,0.0,0.0,177.0
40,80.0,1.0,2.0,175.0
42,77.0,0.0,1.0,181.0
43,50.0,0.0,0.0,186.0
44,81.0,3.0,3.0,173.0
45,71.0,0.0,0.0,180.0
46,78.0,0.0,2.0,179.0
48,66.0,4.0,3.0,176.0
49,53.0,1.0,0.0,180.0
50,50.0,0.0,0.0,180.0
51,57.0,0.0,0.0,180.0
60,87.0,0.0,1.0,189.0
61,78.0,0.0,0.0,176.0
62,91.0,0.0,0.0,177.0
63,73.0,1.0,0.0,182.0
64,77.0,0.0,0.0,178.0
65,95.0,1.0,0.0,178.0
66,78.0,1.0,4.0,177.0
67,81.0,1.0,0.0,180.0
68,80.0,0.0,1.0,184.0
69,83.0,0.0,0.0,186.0
70,74.0,0.0,0.0,188.0
71,66.0,0.0,0.0,192.0
73,70.0,1.0,0.0,186.0
74,68.0,0.0,0.0,183.0
75,66.0,0.0,0.0,186.0
80,80.0,0.0,0.0,180.0
81,77.0,1.0,5.0,175.0
82,66.0,1.0,0.0,182.0
83,84.0,0.0,0.0,189.0
84,73.0,2.0,1.0,179.0
85,70.0,0.0,1.0,179.0
86,78.0,0.0,2.0,185.0
88,86.0,0.0,0.0,184.0
89,88.0,1.0,0.0,180.0
90,62.0,3.0,0.0,180.0
91,72.0,0.0,1.0,178.0
92,64.0,0.0,1.0,184.0
93,72.0,1.0,1.0,174.0
94,59.0,2.0,0.0,175.0
95,88.0,3.0,3.0,177.0
96,81.0,0.0,2.0,188.0
97,81.0,1.0,4.0,173.0
102,72.0,0.0,0.0,179.0
103,54.0,0.0,2.0,203.0
105,64.0,1.0,6.0,186.0
106,82.0,0.0,0.0,189.0
107,77.0,0.0,0.0,182.0
108,89.0,0.0,2.0,187.0
110,72.0,1.0,7.0,183.0
111,39.0,0.0,0.0,189.0
112,96.0,0.0,0.0,182.0
113,75.0,1.0,4.0,188.0
114,42.0,0.0,0.0,192.0
115,76.0,2.0,0.0,171.0
117,23.0,0.0,0.0,174.0
120,75.0,2.0,0.0,181.0
121,89.0,0.0,2.0,194.0
122,71.0,0.0,0.0,181.0
123,90.0,0.0,1.0,180.0
124,88.0,8.0,10.0,176.0
125,82.0,1.0,3.0,178.0
127,52.0,0.0,0.0,190.0
128,89.0,3.0,1.0,174.0
130,80.0,6.0,3.0,169.0
131,76.0,2.0,0.0,171.0
132,76.0,4.0,0.0,177.0
133,73.0,2.0,1.0,170.0
134,82.0,2.0,3.0,183.0
135,75.0,3.0,0.0,172.0
136,65.0,0.0,0.0,188.0
137,72.0,0.0,3.0,171.0
138,79.0,1.0,1.0,193.0
139,38.0,0.0,0.0,186.0
140,75.0,1.0,2.0,183.0
141,74.0,1.0,2.0,192.0
144,56.0,0.0,0.0,165.0
145,74.0,0.0,0.0,179.0
146,68.0,0.0,0.0,179.0
147,39.0,0.0,0.0,184.0
148,80.0,0.0,0.0,181.0
149,50.0,0.0,0.0,192.0
150,82.0,0.0,0.0,179.0
151,62.0,1.0,3.0,184.0
152,0.0,0.0,0.0,190.0
153,73.0,0.0,0.0,182.0
154,73.0,0.0,1.0,170.0
155,32.0,0.0,0.0,187.0
160,81.0,6.0,3.0,181.0
161,74.0,13.0,29.0,182.0
162,66.0,2.0,5.0,187.0
163,77.0,2.0,3.0,169.0
164,69.0,1.0,2.0,180.0
165,87.0,1.0,2.0,184.0
166,79.0,2.0,1.0,172.0
167,87.0,3.0,0.0,171.0
168,80.0,1.0,0.0,182.0
169,74.0,1.0,0.0,180.0
170,72.0,0.0,0.0,175.0
171,68.0,3.0,7.0,178.0
174,85.0,0.0,1.0,186.0
175,86.0,4.0,1.0,171.0
176,78.0,2.0,9.0,177.0
177,76.0,0.0,0.0,175.0
178,80.0,1.0,1.0,188.0
180,79.0,3.0,6.0,175.0
181,78.0,2.0,7.0,186.0
182,85.0,4.0,0.0,177.0
183,77.0,2.0,4.0,181.0
184,74.0,1.0,2.0,188.0
185,67.0,0.0,0.0,176.0
186,74.0,0.0,1.0,177.0
187,70.0,1.0,2.0,179.0
188,66.0,0.0,0.0,184.0
189,63.0,0.0,0.0,171.0
191,68.0,0.0,0.0,184.0
192,68.0,5.0,10.0,183.0
193,64.0,1.0,0.0,183.0
200,52.0,0.0,0.0,190.0
