,Games,Accuracy_Passes,Shots_Total,Goals_Total,Weight_kg,Height_cm,Rating
0,23.0,79.0,8.0,0.0,73.0,180.0,1
1,35.0,75.0,40.0,4.0,75.0,183.0,2
2,1.0,50.0,0.0,0.0,81.0,185.0,0
3,10.0,74.0,1.0,0.0,79.0,189.0,1
4,7.0,76.0,11.0,0.0,71.0,174.0,1
5,6.0,63.0,0.0,0.0,74.0,180.0,1
6,32.0,82.0,35.0,1.0,75.0,176.0,2
7,24.0,79.0,4.0,0.0,80.0,187.0,1
8,26.0,73.0,15.0,1.0,63.0,179.0,1
9,32.0,62.0,85.0,16.0,77.0,181.0,2
10,9.0,53.0,0.0,0.0,83.0,188.0,1
11,16.0,58.0,0.0,0.0,87.0,191.0,1
12,12.0,78.0,2.0,0.0,76.0,173.0,2
13,2.0,79.0,1.0,0.0,79.0,184.0,2
14,23.0,56.0,9.0,1.0,72.0,182.0,0
15,17.0,71.0,16.0,1.0,74.0,179.0,1
16,2.0,79.0,0.0,0.0,79.0,184.0,0
17,10.0,78.0,0.0,0.0,81.0,182.0,1
18,6.0,86.0,0.0,0.0,84.0,183.0,2
19,34.0,89.0,18.0,5.0,73.0,184.0,2
20,22.0,61.0,38.0,4.0,78.0,184.0,1
21,31.0,64.0,45.0,8.0,79.0,186.0,1
22,24.0,75.0,7.0,2.0,75.0,182.0,1
23,22.0,70.0,4.0,0.0,81.0,185.0,1
24,12.0,74.0,6.0,1.0,70.0,177.0,1
25,31.0,82.0,25.0,3.0,79.0,186.0,1
26,22.0,80.0,10.0,3.0,82.0,188.0,2
27,25.0,68.0,0.0,0.0,74.0,182.0,1
28,17.0,74.0,13.0,2.0,72.0,178.0,1
29,27.0,67.0,9.0,0.0,86.0,192.0,1
30,4.0,64.0,1.0,0.0,68.0,177.0,0
31,21.0,80.0,11.0,2.0,66.0,175.0,1
32,31.0,77.0,8.0,1.0,76.0,181.0,1
33,25.0,50.0,0.0,0.0,77.0,186.0,1
34,31.0,81.0,35.0,3.0,72.0,173.0,1
35,5.0,71.0,3.0,0.0,70.0,180.0,0
36,25.0,78.0,17.0,2.0,68.0,179.0,0
37,21.0,66.0,14.0,3.0,72.0,176.0,1
38,26.0,53.0,0.0,0.0,75.0,180.0,1
39,1.0,50.0,0.0,0.0,78.0,180.0,1
40,4.0,57.0,0.0,0.0,74.0,180.0,0
41,13.0,87.0,5.0,1.0,82.0,189.0,1
42,4.0,78.0,1.0,0.0,71.0,176.0,1
43,3.0,91.0,0.0,0.0,73.0,177.0,1
44,16.0,73.0,0.0,0.0,76.0,182.0,1
45,6.0,77.0,2.0,0.0,78.0,178.0,0
46,3.0,95.0,1.0,0.0,66.0,178.0,1
47,25.0,78.0,16.0,4.0,68.0,177.0,1
48,19.0,81.0,10.0,0.0,78.0,180.0,1
49,31.0,80.0,15.0,1.0,78.0,184.0,1
50,4.0,83.0,4.0,0.0,80.0,186.0,1
51,7.0,74.0,1.0,0.0,79.0,188.0,1
52,1.0,66.0,0.0,0.0,90.0,192.0,0
53,11.0,70.0,0.0,0.0,76.0,186.0,0
54,3.0,68.0,1.0,0.0,76.0,183.0,1
55,1.0,66.0,0.0,0.0,74.0,186.0,0
56,6.0,80.0,0.0,0.0,79.0,180.0,0
57,22.0,77.0,30.0,5.0,68.0,175.0,1
58,15.0,66.0,16.0,0.0,80.0,182.0,1
59,12.0,84.0,2.0,0.0,80.0,189.0,1
60,11.0,73.0,11.0,1.0,67.0,179.0,1
61,14.0,70.0,4.0,1.0,70.0,179.0,1
62,21.0,78.0,10.0,2.0,79.0,185.0,1
63,11.0,86.0,4.0,0.0,79.0,184.0,1
64,27.0,88.0,9.0,0.0,70.0,180.0,1
65,27.0,62.0,12.0,0.0,74.0,180.0,0
66,6.0,72.0,7.0,1.0,77.0,178.0,1
67,16.0,64.0,1.0,1.0,74.0,184.0,2
68,26.0,72.0,9.0,1.0,72.0,174.0,1
69,9.0,59.0,4.0,0.0,67.0,175.0,1
70,18.0,88.0,14.0,3.0,76.0,177.0,2
71,30.0,81.0,10.0,2.0,84.0,188.0,1
72,18.0,81.0,25.0,4.0,72.0,173.0,1
73,6.0,72.0,3.0,0.0,76.0,179.0,0
74,8.0,54.0,20.0,2.0,87.0,203.0,1
75,20.0,64.0,60.0,6.0,84.0,186.0,1
76,8.0,82.0,5.0,0.0,78.0,189.0,1
77,19.0,77.0,2.0,0.0,78.0,182.0,1
78,29.0,89.0,24.0,2.0,76.0,187.0,1
79,28.0,72.0,43.0,7.0,78.0,183.0,1
80,4.0,39.0,0.0,0.0,82.0,189.0,1
81,5.0,96.0,0.0,0.0,73.0,182.0,1
82,35.0,75.0,27.0,4.0,78.0,188.0,1
83,4.0,42.0,0.0,0.0,94.0,192.0,0
84,26.0,76.0,12.0,0.0,66.0,171.0,1
85,3.0,23.0,0.0,0.0,63.0,174.0,0
86,23.0,75.0,3.0,0.0,71.0,181.0,1
87,25.0,89.0,20.0,2.0,85.0,194.0,2
88,14.0,71.0,3.0,0.0,76.0,181.0,1
89,16.0,90.0,1.0,1.0,68.0,180.0,1
90,30.0,88.0,32.0,10.0,79.0,176.0,2
91,16.0,82.0,34.0,3.0,72.0,178.0,1
92,33.0,52.0,0.0,0.0,90.0,190.0,1
93,25.0,89.0,10.0,1.0,73.0,174.0,2
94,33.0,80.0,42.0,3.0,67.0,169.0,1
95,13.0,76.0,3.0,0.0,68.0,171.0,1
96,19.0,76.0,16.0,0.0,74.0,177.0,1
97,16.0,73.0,11.0,1.0,64.0,170.0,1
98,18.0,82.0,15.0,3.0,74.0,183.0,1
99,22.0,75.0,18.0,0.0,68.0,172.0,0
100,19.0,65.0,5.0,0.0,79.0,188.0,2
101,21.0,72.0,15.0,3.0,70.0,171.0,0
102,27.0,79.0,10.0,1.0,89.0,193.0,1
103,2.0,38.0,2.0,0.0,78.0,186.0,0
104,15.0,75.0,10.0,2.0,73.0,183.0,1
105,27.0,74.0,11.0,2.0,84.0,192.0,2
106,7.0,56.0,3.0,0.0,69.0,165.0,0
107,12.0,74.0,1.0,0.0,75.0,179.0,1
108,8.0,68.0,2.0,0.0,70.0,179.0,0
109,13.0,39.0,1.0,0.0,72.0,184.0,1
110,34.0,80.0,25.0,0.0,74.0,181.0,2
111,1.0,50.0,0.0,0.0,80.0,192.0,0
112,16.0,82.0,4.0,0.0,73.0,179.0,1
113,21.0,62.0,21.0,3.0,79.0,184.0,1
114,2.0,0.0,1.0,0.0,84.0,190.0,1
115,11.0,73.0,2.0,0.0,79.0,182.0,1
116,14.0,73.0,7.0,1.0,64.0,170.0,1
117,1.0,32.0,0.0,0.0,79.0,187.0,0
118,34.0,81.0,25.0,3.0,77.0,181.0,2
119,35.0,74.0,120.0,29.0,86.0,182.0,2
120,34.0,66.0,56.0,5.0,83.0,187.0,1
121,28.0,77.0,44.0,3.0,63.0,169.0,1
122,14.0,69.0,28.0,2.0,72.0,180.0,1
123,10.0,87.0,11.0,2.0,79.0,184.0,1
124,4.0,79.0,2.0,1.0,66.0,172.0,1
125,23.0,87.0,18.0,0.0,68.0,171.0,2
126,22.0,80.0,6.0,0.0,73.0,182.0,1
127,11.0,74.0,8.0,0.0,80.0,180.0,1
128,2.0,72.0,0.0,0.0,65.0,175.0,1
129,32.0,68.0,64.0,7.0,72.0,178.0,1
130,31.0,85.0,9.0,1.0,77.0,186.0,1
131,23.0,86.0,17.0,1.0,65.0,171.0,1
132,35.0,78.0,63.0,9.0,73.0,177.0,2
133,6.0,76.0,2.0,0.0,73.0,175.0,0
134,17.0,80.0,3.0,1.0,91.0,188.0,1
135,20.0,79.0,25.0,6.0,72.0,175.0,1
136,19.0,78.0,64.0,7.0,81.0,186.0,2
137,25.0,85.0,10.0,0.0,88.0,177.0,1
138,25.0,77.0,24.0,4.0,77.0,181.0,1
139,12.0,74.0,16.0,2.0,79.0,188.0,1
140,25.0,67.0,5.0,0.0,71.0,176.0,1
141,15.0,74.0,16.0,1.0,74.0,177.0,1
142,20.0,70.0,11.0,2.0,76.0,179.0,1
143,4.0,66.0,0.0,0.0,81.0,184.0,1
144,7.0,63.0,0.0,0.0,68.0,171.0,0
145,8.0,68.0,5.0,0.0,75.0,184.0,1
146,37.0,68.0,85.0,10.0,70.0,183.0,1
147,8.0,64.0,10.0,0.0,78.0,183.0,1
148,37.0,52.0,0.0,0.0,86.0,190.0,1
149,15.0,83.0,6.0,0.0,66.0,179.0,0
150,35.0,89.0,32.0,2.0,75.0,196.0,2
151,35.0,56.0,0.0,0.0,86.0,186.0,1
152,30.0,82.0,29.0,2.0,77.0,179.0,1
153,3.0,66.0,0.0,0.0,85.0,197.0,0
154,9.0,69.0,1.0,0.0,68.0,176.0,1
155,10.0,85.0,2.0,0.0,75.0,180.0,1
156,7.0,77.0,4.0,0.0,83.0,192.0,1
157,5.0,70.0,4.0,2.0,75.0,180.0,1
158,31.0,84.0,13.0,0.0,76.0,185.0,1
159,29.0,73.0,31.0,1.0,77.0,178.0,1
160,9.0,55.0,5.0,0.0,73.0,187.0,1
161,9.0,58.0,1.0,0.0,75.0,177.0,0
162,13.0,84.0,5.0,2.0,81.0,188.0,2
163,22.0,86.0,32.0,8.0,75.0,180.0,2
164,30.0,81.0,25.0,2.0,75.0,174.0,2
165,26.0,71.0,49.0,11.0,73.0,182.0,1
166,1.0,55.0,0.0,0.0,79.0,188.0,0
