"","Age","Position","Games","Team","Total_Passes","Tackled_Intercept","Duels_Won","Goals_Total","Rating","Weight_kg","Height_cm"
"1",31,"Defender",23,"Villarreal",696,36,83,0,"High Rating",73,180
"2",31,"Midfielder",35,"Malaga",1421,115,323,4,"High Rating",75,183
"4",34,"Defender",10,"Real Sociedad",292,22,57,0,"High Rating",79,189
"5",34,"Midfielder",7,"Granada CF",203,12,30,0,"Low Rating",71,174
"6",34,"Midfielder",6,"Real Sociedad",93,5,22,0,"Low Rating",74,180
"7",34,"Midfielder",32,"Athletic Club",1255,36,111,1,"High Rating",75,176
"8",31,"Midfielder",24,"Athletic Club",617,32,61,0,"Average Rating",80,187
"9",34,"Attacker",26,"Athletic Club",326,19,110,1,"Average Rating",63,179
"10",39,"Attacker",32,"Athletic Club",354,4,220,16,"High Rating",77,181
"13",30,"Defender",12,"Celta Vigo",470,24,70,0,"High Rating",76,173
"14",32,"Midfielder",2,"Athletic Club",55,4,8,0,"High Rating",79,184
"15",35,"Attacker",23,"Alaves",227,10,94,1,"Low Rating",72,182
"16",37,"Midfielder",17,"Real Betis",268,20,64,1,"Average Rating",74,179
"17",34,"Midfielder",2,"Granada CF",8,1,3,0,"Low Rating",79,184
"18",35,"Defender",10,"Valencia",143,5,21,0,"Low Rating",81,182
"19",38,"Defender",6,"Villarreal",225,7,17,0,"High Rating",84,183
"20",37,"Midfielder",34,"Villarreal",1942,85,149,5,"High Rating",73,184
"21",34,"Attacker",22,"Osasuna",306,7,132,4,"Average Rating",78,184
"22",35,"Attacker",31,"Atletico Madrid",191,2,94,8,"Average Rating",79,186
"23",35,"Defender",24,"Alaves",643,33,63,2,"Average Rating",75,182
"24",33,"Defender",22,"Malaga",446,32,67,0,"Low Rating",81,185
"25",35,"Defender",12,"Osasuna",219,29,29,1,"Low Rating",70,177
"26",34,"Midfielder",31,"Real Sociedad",1195,85,172,3,"High Rating",79,186
"27",36,"Defender",22,"Eibar",658,49,105,3,"High Rating",82,188
"29",32,"Midfielder",17,"Eibar",425,31,70,2,"High Rating",72,178
"30",35,"Defender",27,"Sporting Gijon",576,70,129,0,"Average Rating",86,192
"31",35,"Defender",4,"Osasuna",21,4,9,0,"Low Rating",68,177
"32",35,"Midfielder",21,"Sporting Gijon",562,22,73,2,"Average Rating",66,175
"33",37,"Midfielder",31,"Espanyol",1036,62,136,1,"Average Rating",76,181
"35",34,"Midfielder",31,"Espanyol",1016,19,138,3,"Average Rating",72,173
"36",30,"Midfielder",5,"Eibar",32,1,9,0,"Low Rating",70,180
"37",30,"Midfielder",25,"Granada CF",483,25,100,2,"Low Rating",68,179
"38",36,"Midfielder",21,"Espanyol",252,6,59,3,"Low Rating",72,176
"40",34,"Attacker",1,"Atletico Madrid",2,0,2,0,"Average Rating",78,180
