,Position,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Dribbles_Attempts,Fouls_Drawn,Fouls_Committed,Tackled_Intercept,Duels_Won,Duels_Total,Goals_Total,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Weight_kg
0,1,2067,79,4,696,0,1,9,24,36,83,159,0,2,6,0,0,73
1,2,3146,75,14,1421,13,12,64,92,115,323,607,4,2,15,0,0,75
3,1,870,74,7,292,1,16,12,8,22,57,89,0,2,2,0,0,79
4,2,397,76,3,203,2,5,14,9,12,30,59,0,1,2,0,0,71
5,2,286,63,1,93,0,2,9,5,5,22,44,0,0,0,0,0,74
6,2,2410,82,72,1255,11,27,26,24,36,111,208,1,2,9,0,0,75
7,2,1152,79,11,617,1,5,12,26,32,61,126,0,1,3,0,0,80
8,0,1104,73,28,326,4,50,35,18,19,110,218,1,1,4,0,0,63
9,0,2463,62,23,354,45,43,58,37,4,220,430,16,2,9,0,1,77
12,1,947,78,12,470,0,4,9,14,24,70,115,0,2,3,0,0,76
13,2,104,79,3,55,1,0,0,0,4,8,9,0,2,0,0,0,79
14,0,1228,56,15,227,5,30,22,17,10,94,209,1,0,4,0,0,72
15,2,805,71,12,268,3,18,11,22,20,64,133,1,1,9,0,0,74
16,2,42,79,0,8,0,2,0,2,1,3,10,0,0,0,0,0,79
17,1,543,78,4,143,0,6,7,5,5,21,45,0,0,2,0,0,81
18,1,540,86,1,225,0,0,7,7,7,17,27,0,2,2,0,0,84
19,2,2984,89,24,1942,9,21,25,15,85,149,232,5,2,5,0,0,73
20,0,1467,61,20,306,16,19,34,41,7,132,324,4,1,3,0,0,78
21,0,1417,64,20,191,20,44,27,30,2,94,241,8,1,3,0,0,79
22,1,1815,75,1,643,2,3,8,18,33,63,116,2,1,11,0,1,75
23,1,1564,70,5,446,2,0,6,15,32,67,110,0,0,4,0,0,81
24,1,1036,74,1,219,2,1,4,11,29,29,62,1,0,3,0,0,70
25,2,2505,82,15,1195,12,33,51,66,85,172,358,3,2,8,0,1,79
26,1,1722,80,0,658,6,1,22,12,49,105,146,3,2,5,0,0,82
28,2,1225,74,10,425,5,6,9,29,31,70,138,2,2,5,0,0,72
29,1,2221,67,5,576,2,7,21,49,70,129,227,0,1,17,0,0,86
