unnamed,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset,severerisk
0,4/1/2021,1617256800,20.8,-1.3,9,20.8,-2.7,8.6,-9.7,31.7,0,0,0,,0,0,,14.5,160.3,1023.3,0,16,275,23.7,9,6:44:27,1617281067,19:25:53,1617326753,0.64,Clear,Clear conditions throughout the day.,clear-day,"['KLMO', 'D5993', '72053300160', 'BTAC2', 'ATC01', '99999994075', 'KBDU', '72053800164']",obs,,
1,4/2/2021,1617343200,22.8,4.9,13.6,22.8,3.8,13.2,-9.3,21.3,0,0,0,,0,0,29.5,12,162.3,1018.1,0,16,236.5,20.5,9,6:42:51,1617367371,19:26:54,1617413214,0.67,Clear,Clear conditions throughout the day.,clear-day,"['KLMO', 'D5993', '72053300160', 'BTAC2', 'ATC01', 'KBDU', '99999994075', '72053800164']",obs,,
2,4/3/2021,1617429600,25.7,3.7,15.8,25.7,3.7,15.8,-7.5,22.6,0,0,0,,0,0,27.7,14.5,190.3,1021.4,0,16,278.5,24.1,9,6:41:15,1617453675,19:27:55,1617499675,0.71,Clear,Clear conditions throughout the day.,clear-day,"['KLMO', 'D5993', '72053300160', 'BTAC2', 'ATC01', 'KBDU', '99999994075', '72053800164']",obs,,
3,4/4/2021,1617516000,25.8,9.4,17.6,25.8,7.7,17.4,-6,20.9,0,0,0,,0,0,38.9,23.4,266.6,1017.9,0,16,211.1,18.1,7,6:39:40,1617539980,19:28:56,1617586136,0.75,Clear,Clear conditions throughout the day.,clear-day,"['KLMO', 'D5993', '72053300160', 'BTAC2', 'ATC01', 'KBDU', '99999994075', '72053800164']",obs,,
4,4/5/2021,1617602400,25.8,9.3,17.9,25.8,9.3,17.9,-6.2,20.4,0,0,0,,0,0,27.7,21,230.9,1007.8,0,16,184.9,15.9,7,6:38:05,1617626285,19:29:57,1617672597,0.78,Clear,Clear conditions throughout the day.,clear-day,"['KLMO', 'D5993', '72053300160', 'BTAC2', 'ATC01', 'KBDU', '99999994075', '72053800164']",obs,,
5,4/6/2021,1617688800,13.8,2.9,8,13.8,1.4,7,-0.5,58.2,1.69,100,8.33,['rain'],0,0,45.8,25.1,15.5,1007.1,42.4,15.6,145.3,12.7,8,6:36:30,1617712590,19:30:57,1617759057,0.81,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"['KLMO', 'D5993', '72053300160', 'BTAC2', 'ATC01', 'KBDU', '99999994075', '72053800164']",obs,,
6,4/7/2021,1617775200,16.8,0,7.8,16.8,-2.6,7.2,-2.5,57.3,0.009,100,4.17,"['rain', 'snow']",0,0,54.2,37.2,264.2,1014.3,43.5,16,262,22.6,9,6:34:56,1617798896,19:31:58,1617845518,0.85,"Snow, Rain, Partially cloudy",Clearing in the afternoon with morning rain or snow.,rain,"['KLMO', 'D5993', '72053300160', 'BTAC2', 'ATC01', 'KBDU', '99999994075', '72053800164']",obs,,
7,4/8/2021,1617861600,20.8,4.7,13.4,20.8,2.8,13,-8.6,23.1,0,0,0,,0,0,53.1,31.7,273.5,1009,3.9,16,256.6,22.3,9,6:33:22,1617885202,19:32:59,1617931979,0.88,Clear,Clear conditions throughout the day.,clear-day,"['KLMO', 'D5993', '72053300160', 'BTAC2', 'ATC01', 'KBDU', '99999994075', '72053800164']",obs,,
8,4/9/2021,1617948000,13.4,1.8,7.6,13.4,-0.3,6.1,-7.4,36.3,0.022,100,12.5,"['rain', 'snow']",0,0,50,27.7,9.2,1014.1,25.7,16,240,20.7,8,6:31:49,1617971509,19:34:00,1618018440,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"['KLMO', 'D5993', '72053300160', 'BTAC2', 'ATC01', 'KBDU', '99999994075', '72053800164']",obs,,
9,4/10/2021,1618034400,19.8,-1.2,9.5,19.8,-2.1,9.4,-8.3,35.1,0,0,0,,0,0,48.6,33.1,269.8,1011.1,0,16,286.5,24.6,9,6:30:16,1618057816,19:35:01,1618104901,0.95,Clear,Clear conditions throughout the day.,clear-day,"['KLMO', 'D5993', '72053300160', 'BTAC2', 'ATC01', 'KBDU', '99999994075', '72053800164']",obs,,
