Games,Accuracy_Passes,Key_Passes,Total_Passes,Shots_Total,Dribbles_Attempts,Dribbles_Success,Tackled_Intercept,Goals_Total,Yellow_Cards,Weight_kg,Height_cm,Rating,Position
23,79,4,696,8,1,1,36,0,6,73,180,6.982608,Defender
35,75,14,1421,40,12,7,115,4,15,75,183,7.077142,Midfielder
10,74,7,292,1,16,9,22,0,2,79,189,6.99,Defender
7,76,3,203,11,5,5,12,0,2,71,174,6.671428,Midfielder
6,63,1,93,0,2,1,5,0,0,74,180,6.62,Midfielder
32,82,72,1255,35,27,18,36,1,9,75,176,7.2125,Midfielder
24,79,11,617,4,5,2,32,0,3,80,187,6.691666,Midfielder
26,73,28,326,15,50,29,19,1,4,63,179,6.676923,Attacker
32,62,23,354,85,43,23,4,16,9,77,181,7.125806,Attacker
12,78,12,470,2,4,3,24,0,3,76,173,7.063636,Defender
2,79,3,55,1,0,0,4,0,0,79,184,7.2,Midfielder
23,56,15,227,9,30,11,10,1,4,72,182,6.491304,Attacker
17,71,12,268,16,18,9,20,1,9,74,179,6.725,Midfielder
2,79,0,8,0,2,0,1,0,0,79,184,6.2,Midfielder
10,78,4,143,0,6,2,5,0,2,81,182,6.533333,Defender
6,86,1,225,0,0,0,7,0,2,84,183,7.1,Defender
34,89,24,1942,18,21,17,85,5,5,73,184,7.320588,Midfielder
22,61,20,306,38,19,8,7,4,3,78,184,6.840909,Attacker
31,64,20,191,45,44,11,2,8,3,79,186,6.812903,Attacker
24,75,1,643,7,3,3,33,2,11,75,182,6.695652,Defender
22,70,5,446,4,0,0,32,0,4,81,185,6.627272,Defender
12,74,1,219,6,1,1,29,1,3,70,177,6.608333,Defender
31,82,15,1195,25,33,12,85,3,8,79,186,6.903225,Midfielder
22,80,0,658,10,1,1,49,3,5,82,188,7.154545,Defender
17,74,10,425,13,6,2,31,2,5,72,178,6.964705,Midfielder
27,67,5,576,9,7,6,70,0,17,86,192,6.748148,Defender
4,64,1,21,1,1,0,4,0,0,68,177,6.5,Defender
21,80,10,562,11,13,10,22,2,6,66,175,6.7,Midfielder
31,77,6,1036,8,11,7,62,1,9,76,181,6.78,Midfielder
31,81,29,1016,35,73,46,19,3,1,72,173,6.86129,Midfielder
5,71,2,32,3,12,4,1,0,0,70,180,6.2,Midfielder
25,78,20,483,17,54,33,25,2,4,68,179,6.476,Midfielder
21,66,18,252,14,34,13,6,3,1,72,176,6.661904,Midfielder
1,50,0,2,0,1,1,0,0,0,78,180,6.7,Attacker
4,57,0,45,0,10,3,6,0,2,74,180,6.425,Defender
13,87,2,684,5,3,2,15,1,0,82,189,7,Defender
4,78,2,83,1,0,0,5,0,2,71,176,6.666666,Defender
3,91,0,98,0,2,1,8,0,0,73,177,6.933333,Midfielder
16,73,2,362,0,8,8,43,0,4,76,182,6.946666,Defender
6,77,0,127,2,8,5,4,0,3,78,178,6.283333,Defender
3,95,2,103,1,2,1,1,0,0,66,178,6.966666,Defender
25,78,12,175,16,12,6,1,4,1,68,177,6.672,Attacker
19,81,15,354,10,14,12,19,0,5,78,180,6.80625,Midfielder
31,80,2,741,15,6,5,68,1,10,78,184,6.854838,Defender
4,83,1,114,4,1,1,3,0,1,80,186,6.65,Midfielder
7,74,1,207,1,3,2,12,0,2,79,188,6.642857,Defender
1,66,0,8,0,0,0,0,0,0,90,192,5.7,Defender
11,70,3,155,0,3,1,22,0,2,76,186,6.40909,Defender
3,68,1,55,1,1,1,3,0,1,76,183,6.766666,Midfielder
